Timeslot,Date,Time,Events,Speakers,Session,Notes
0,7/14/2021,18:00,Opening,,,
1,7/14/2021,18:30,Opening,,,
2,7/14/2021,19:00,Opening,,,"5 minutes each, 10 per hour. x2 times"
3,7/14/2021,19:30,Opening,,,capacity 20 videos
4,7/14/2021,20:00,Coffee Hour,,,
5,7/14/2021,20:30,Coffee Hour,,,
6,7/14/2021,21:00,,,,"10 minutes video, 10 minutes Q & A, 3 per hour, x2, Each talk appears twice among 3 total 2 hour blocks"
7,7/14/2021,21:30,,,,Speaker must match time
8,7/14/2021,22:00,,,,Removed Wrapup
9,7/14/2021,22:30,,,,"capacity: 6 skills, 2 skills at the same time"
10,7/14/2021,23:00,,,,
11,7/14/2021,23:30,,,,
12,7/15/2021,0:00,Skills 1,"Eric Feigel-Ding, Gosia",,
13,7/15/2021,0:30,Skills 1,,,
14,7/15/2021,1:00,Canada Special Session,,,3 more speakers
15,7/15/2021,1:30,Canada Special Session,,,
16,7/15/2021,2:00,,,,
17,7/15/2021,2:30,,,,
18,7/15/2021,3:00,,,,
19,7/15/2021,3:30,,,,
20,7/15/2021,4:00,,,,
21,7/15/2021,4:30,,,,
22,7/15/2021,5:00,,,,
23,7/15/2021,5:30,,,,
24,7/15/2021,6:00,,,,
25,7/15/2021,6:30,,,,
26,7/15/2021,7:00,,,,
27,7/15/2021,7:30,,,,
28,7/15/2021,8:00,Skills 2,,,
29,7/15/2021,8:30,Skills 2,,,
30,7/15/2021,9:00,Skills 2,,,
31,7/15/2021,9:30,Skills 2,,,
32,7/15/2021,10:00,,,,
33,7/15/2021,10:30,,,,
34,7/15/2021,11:00,,,,
35,7/15/2021,11:30,,,,
36,7/15/2021,12:00,,,,
37,7/15/2021,12:30,,,,
38,7/15/2021,13:00,,,,
39,7/15/2021,13:30,,,,
40,7/15/2021,14:00,,,,
41,7/15/2021,14:30,,,,
42,7/15/2021,15:00,,,,
43,7/15/2021,15:30,,,,
44,7/15/2021,16:00,Skills 3,,,
45,7/15/2021,16:30,Skills 3,,,
46,7/15/2021,17:00,Skills 3,,,
47,7/15/2021,17:30,Skills 3,,,
48,7/15/2021,18:00,European Special Session,,,
49,7/15/2021,18:30,European Special Session,,,
50,7/15/2021,19:00,Wrap Up,,,
51,7/15/2021,19:30,Wrap Up,,,
