Team,Timezone,2021-07-14 18:00:00,2021-07-14 18:30:00,2021-07-14 19:00:00,2021-07-14 19:30:00,2021-07-14 20:00:00,2021-07-14 20:30:00,2021-07-14 21:00:00,2021-07-14 21:30:00,2021-07-14 22:00:00,2021-07-14 22:30:00,2021-07-14 23:00:00,2021-07-14 23:30:00,2021-07-15 00:00:00,2021-07-15 00:30:00,2021-07-15 01:00:00,2021-07-15 01:30:00,2021-07-15 02:00:00,2021-07-15 02:30:00,2021-07-15 03:00:00,2021-07-15 03:30:00,2021-07-15 04:00:00,2021-07-15 04:30:00,2021-07-15 05:00:00,2021-07-15 05:30:00,2021-07-15 06:00:00,2021-07-15 06:30:00,2021-07-15 07:00:00,2021-07-15 07:30:00,2021-07-15 08:00:00,2021-07-15 08:30:00,2021-07-15 09:00:00,2021-07-15 09:30:00,2021-07-15 10:00:00,2021-07-15 10:30:00,2021-07-15 11:00:00,2021-07-15 11:30:00,2021-07-15 12:00:00,2021-07-15 12:30:00,2021-07-15 13:00:00,2021-07-15 13:30:00,2021-07-15 14:00:00,2021-07-15 14:30:00,2021-07-15 15:00:00,2021-07-15 15:30:00,2021-07-15 16:00:00,2021-07-15 16:30:00,2021-07-15 17:00:00,2021-07-15 17:30:00,2021-07-15 18:00:00,2021-07-15 18:30:00,2021-07-15 19:00:00,2021-07-15 19:30:00,2021-07-15 20:00:00,2021-07-15 20:30:00
T1,0,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,T4,,,T25,,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,,T18,T48,,,Wrap Up,Wrap Up
T2,1,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,,,T21,,,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,T3,T5,,T11,,,Wrap Up,Wrap Up
T3,2,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,,,T19,T42,T31,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,T2,,,,,,Wrap Up,Wrap Up
T4,3,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,T31,T1,,,,T20,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,T7,,,,,Wrap Up,Wrap Up
T5,4,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,,,,,,T35,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,T9,,,,,,T42,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,T2,,,,,Wrap Up,Wrap Up
T6,5,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,,,,,T39,,T45,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,,,T28,,,T9,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,,,,,,Wrap Up,Wrap Up
T7,-1,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,T10,,T20,,,,T43,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,T4,,,,,Wrap Up,Wrap Up
T8,-7,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,T13,,,,T22,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,,,,,,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,T33,,,T17,,Wrap Up,Wrap Up
T9,1,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,T5,,,T25,,,T6,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,,,,,,Wrap Up,Wrap Up
T10,2,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,T7,,,T30,,,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,,T11,,,T27,Wrap Up,Wrap Up
