Team,Timezone,2021-07-14 18:00:00,2021-07-14 18:30:00,2021-07-14 19:00:00,2021-07-14 19:30:00,2021-07-14 20:00:00,2021-07-14 20:30:00,2021-07-14 21:00:00,2021-07-14 21:30:00,2021-07-14 22:00:00,2021-07-14 22:30:00,2021-07-14 23:00:00,2021-07-14 23:30:00,2021-07-15 00:00:00,2021-07-15 00:30:00,2021-07-15 01:00:00,2021-07-15 01:30:00,2021-07-15 02:00:00,2021-07-15 02:30:00,2021-07-15 03:00:00,2021-07-15 03:30:00,2021-07-15 04:00:00,2021-07-15 04:30:00,2021-07-15 05:00:00,2021-07-15 05:30:00,2021-07-15 06:00:00,2021-07-15 06:30:00,2021-07-15 07:00:00,2021-07-15 07:30:00,2021-07-15 08:00:00,2021-07-15 08:30:00,2021-07-15 09:00:00,2021-07-15 09:30:00,2021-07-15 10:00:00,2021-07-15 10:30:00,2021-07-15 11:00:00,2021-07-15 11:30:00,2021-07-15 12:00:00,2021-07-15 12:30:00,2021-07-15 13:00:00,2021-07-15 13:30:00,2021-07-15 14:00:00,2021-07-15 14:30:00,2021-07-15 15:00:00,2021-07-15 15:30:00,2021-07-15 16:00:00,2021-07-15 16:30:00,2021-07-15 17:00:00,2021-07-15 17:30:00,2021-07-15 18:00:00,2021-07-15 18:30:00,2021-07-15 19:00:00,2021-07-15 19:30:00,2021-07-15 20:00:00,2021-07-15 20:30:00
T11,3,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,T22,,,,T34,,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,,T10,T2,,,Wrap Up,Wrap Up
T12,12,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,T42,T15,,,,,,,T38,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,T34,,,,,,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,,,,,,Wrap Up,Wrap Up
T13,13,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,T8,,,,,,,T50,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,,,,,,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,,,,,T33,Wrap Up,Wrap Up
T14,14,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,T38,,,T23,,T29,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,,,,,,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,,,,T33,,Wrap Up,Wrap Up
T15,8,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,T12,,,,T39,,,,T36,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,,,,,T27,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,,,,,,Wrap Up,Wrap Up
T16,2,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,,T28,,,,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,,T20,,T50,T44,Wrap Up,Wrap Up
T17,0,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,,,,,,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,,T24,T42,T8,T45,Wrap Up,Wrap Up
T18,1,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,T27,,,,,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,T46,,,T1,T26,,,Wrap Up,Wrap Up
T19,2,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,,,T3,,,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,T44,T28,,,T25,,,Wrap Up,Wrap Up
T20,3,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,,T7,,,T4,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,T21,T16,,,,Wrap Up,Wrap Up
T21,4,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,T26,,T29,T2,,,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,T20,,,,,Wrap Up,Wrap Up
T22,12,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,T47,,T8,,T36,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,T11,,,,,,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,,,,,,Wrap Up,Wrap Up
T23,13,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,T47,,,T14,T24,,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,,,,,,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,,,,,,Wrap Up,Wrap Up
T24,14,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,T40,,T49,T23,,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,,,,,,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,,T17,,,,Wrap Up,Wrap Up
T25,0,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,,,T9,T1,,T48,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,,,T19,,,Wrap Up,Wrap Up
T26,1,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,T21,,,,,T29,T34,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,,,T18,,,Wrap Up,Wrap Up
T27,2,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,T18,,,,T15,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,,T46,,,T10,Wrap Up,Wrap Up
T28,3,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,,T16,T6,,,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,T19,T45,,,,,Wrap Up,Wrap Up
T29,8,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,T14,,,,,T31,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,,T21,,,T26,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,,,,,,Wrap Up,Wrap Up
T30,9,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,,T40,,,,,T36,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,,,T10,T32,,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,,,,,,Wrap Up,Wrap Up
T31,10,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,,,,T35,,T29,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,T4,,,,,T3,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,,,,,,Wrap Up,Wrap Up
T32,0,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,T39,,,,T30,,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,,T41,,,,Wrap Up,Wrap Up
T33,0,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,,,,,,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,T8,,T41,T14,T13,Wrap Up,Wrap Up
T34,4,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,T12,,,,T11,,T26,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,T37,,,,,,,Wrap Up,Wrap Up
T35,6,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,,,,T31,,T5,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,T43,,,T37,,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,,,,,,Wrap Up,Wrap Up
T36,8,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,,,T22,,,T15,T30,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,,,,,T43,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,,,,,,Wrap Up,Wrap Up
T37,2,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,T49,,,,T35,T48,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,T34,,,,,,,Wrap Up,Wrap Up
T38,11,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,T14,,,,,,,,,T12,T40,T50,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,,,,,,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,,,,,,Wrap Up,Wrap Up
T39,12,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,T47,,,,,T15,,,T6,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,T32,,,,,,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,,,,,,Wrap Up,Wrap Up
T40,10,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,T24,,,,,T30,T44,,,T38,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,,,,,,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,,,,,,Wrap Up,Wrap Up
T41,0,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,,,T48,,,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,T43,,,T32,T33,,,Wrap Up,Wrap Up
T42,22,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,T12,,,,,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,,,,T3,,T5,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,,,T17,,,Wrap Up,Wrap Up
T43,23,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,T35,,,,T36,T7,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,T41,,,,,,,Wrap Up,Wrap Up
T44,18,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,T46,,,,,,T40,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,,,,,,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,T19,,,,,,T16,Wrap Up,Wrap Up
T45,16,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,T50,,,,,,,,T6,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,,,,,,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,T28,,,,T17,Wrap Up,Wrap Up
T46,-7,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,T49,T44,,,,,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,,,,,,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,T18,,,T27,,,,Wrap Up,Wrap Up
T47,-8,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,T23,T39,T49,T22,,,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,,,,,,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,,,,,,Wrap Up,Wrap Up
T48,-2,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,,,,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,,,T41,,T37,T25,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,,,T1,,,Wrap Up,Wrap Up
T49,12,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,T46,,T47,T24,,,,,,,,,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,T37,,,,,,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,,,,,,Wrap Up,Wrap Up
T50,13,Opening,Opening,Videos 1,Videos 1,Videos 1,Videos 1,Skills 1,Skills 1,Skills 1,Skills 1,,,,T45,,,,,T13,,,T38,Videos 2,Videos 2,Videos 2,Videos 2,Skills 2,Skills 2,Skills 2,Skills 2,,,,,,,,Videos 3,Videos 3,Videos 3,Videos 3,Skills 3,Skills 3,Skills 3,Skills 3,,,,,,T16,,Wrap Up,Wrap Up
